PID,Product,Company,Unit_price
1,AAOKZ,Qvalcomm,9
2,ABKF5,Sbnsui Electric,143
3,ABQC6,AND,174
4,AJHLX,Gpogle,9
5,AKEH6,Pbnda,159
6,AKRIX,Cbnon,7
7,ARRZN,Kpnka Group,1
8,AUJU6,Xfrox,168
9,AZBE5,EDS,190
10,B71E,Spny,42000
11,BAOR3,eNachines,158
12,BCVXX,Sfagate,10
13,BEKHD,Dbewoo Electronics,8
14,BVMSW,Tsanscend,8
15,BWAZF,Edlipse,3
16,CEDYU,Ajgo,8
17,CEXYH,Cianghong,8
18,CFCJZ,Kpnica Minolta,4
19,CHPZI,Oli,10
20,CLRT3,Hbsee,146
21,CMMDY,MTI,6
22,CSIUN,Ampine,10
23,CSOSX,Dfll,5
24,CXD85,Xfrox,3863
25,CXFBP,Kzocera,4
26,CYOB4,Atus,197
27,DBZNO,Hzundai,6
28,DFIB3,Cbnon,165
29,DGJOX,Bsother Industries,1
30,DIQ33,Uoisys,3376
31,DKQD2,SOK Corporation,183
32,DQBY9,Gjgabyte,178
33,DUBUL,NFC,7
34,DYY68,AND,2410
35,E41D,Mbgnavox,50000
36,EBOM3,Pjoneer,133
37,EBOQN,Spyo,4
38,ECPTU,Aqple,1
39,EFRO3,Cbsio,176
40,ELPO9,Cpwon,105
41,EOWF4,MTI,199
42,EVSI0,Hjsense,155
43,EYRUF,Hbier,9
44,EYUFZ,Slyworth,1
45,EZFKI,Mjcrosoft,1
46,FAYXF,Zfnith,5
47,FCLPO,EDS,7
48,FDDEN,Aoalog Devices,4
49,FHIM2,APC,125
50,FOK34,Hvawei,3490
51,FRNJL,Cmarion,3
52,FUWD9,Slyworth,144
53,FXDQ3,Cmarion,199
54,GAGC2,Aoalog Devices,152
55,GCONZ,Ljte-On,7
56,GDH96,Pfntax,3294
57,GDKMM,Fvjifilm,3
58,GFMS8,Fjtbit,182
59,GHNIA,Cpwon,5
60,GILON,SHI,7
61,GMLW1,Hvawei,200
62,GSHNV,Fjtbit,9
63,GTSJN,Hjsense,5
64,GTUXW,SOK Corporation,1
65,GVYW3,Aqple,195
66,GWYUO,Auari,1
67,GXJFM,Hjtachi,3
68,GYDEL,Anoi,1
69,GYEAZ,Rjcoh,6
70,GYNSO,DMink,6
71,HDARK,BZD Electronic,6
72,HGHXC,Uoisys,5
73,HIMF8,Avdiovox,160
74,HKLB8,Mbgnavox,117
75,HMPDL,Fvjitsu,3
76,HMYIW,BfnQ,8
77,HQGJB,Anazon,2
78,HQGMB,Pbntech,9
79,HRYU2,Njngbo Bird,103
80,HVRI4,TQLink,194
81,HXHPX,Cbsio,4
82,HXSUH,Bpse,9
83,IAIOZ,Njkon,5
84,IFUX5,Tpshiba,181
85,IIIOI,APC,8
86,IJFX3,Hzundai,154
87,INWDA,ZUE,2
88,IOHKK,Awaya,2
89,IOTUM,Mbrantz,10
90,IRCF4,RDA,114
91,IXJXM,Fpxconn,7
92,J00D,eNachines,47000
93,J68U,Rjcoh,43000
94,JAEF2,JWC,165
95,JELGX,Eqson,1
96,JFYDB,Sfga Corporation,4
97,JIGNW,Kfnwood,7
98,JIXCM,Vjzio,2
99,JMTU2,Ajgo,127
100,JNOXV,3N,1
101,JPAHY,HQ,9
102,JXGC9,Fvji Xerox,190
103,JZFGJ,Kpss,7
104,JZV78,Sfga Corporation,3962
105,JZWGM,AND,4
106,KBKHT,Oqpo,5
107,KMSI8,Nwidia,103
108,KPUON,Svn Microsystems,6
109,KQX18,Cmarion,3602
110,KRYB5,Fvjifilm,194
111,KXOR1,DMink,135
112,KYL76,Anoi,3745
113,KZJUC,Uoisonic Products Corporation,1
114,L73U,Hvawei,40000
115,LCIAP,TEK,3
116,LDHFA,Pplycom,4
117,LFNB7,Anoi,152
118,LGAJB,Wfstern Digital,9
119,LGQNL,Pbnda,1
120,LIV28,Fjtbit,3050
121,LOMPL,Kjngston,5
122,LQB07,Hzundai,2106
123,LRA73,Fvji Electric,2390
124,LVUC2,Bsother Industries,114
